time_s,self_x,self_y,self_z,target_x,target_y,target_z,dist_m,los_angle_v,los_angle_z,d_v_angle_v,d_v_angle_z,ex,ey,vx,vy,vz,detect_w,state
1775966192.6775,0.1494,-0.0072,5.5824,-0.0645,25.1669,4.9961,25.1819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1006,0.1448,-0.3277,37,2
1775966192.6875,0.1494,-0.0072,5.5824,-0.0645,25.1669,4.9961,25.1819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0997,0.1422,-0.3205,37,2
1775966192.6975,0.1507,-0.0006,5.5870,-0.1559,25.1697,5.0162,25.1787,0.0648,-0.1519,0.0648,-0.1519,-13.5000,62.0000,-0.0992,0.1406,-0.3129,37,2
1775966192.7075,0.1507,-0.0006,5.5870,-0.1559,25.1697,5.0162,25.1787,0.0648,-0.1519,0.0648,-0.1519,-13.5000,62.0000,-0.0987,0.1386,-0.3069,36,2
1775966192.7175,0.1507,-0.0006,5.5870,-0.1559,25.1697,5.0162,25.1787,0.0679,-0.1539,0.0648,-0.1519,-10.0000,63.5000,-0.0982,0.1367,-0.3007,36,2
1775966192.7275,0.1535,0.0065,5.6021,-0.2415,25.1674,5.0024,25.1711,0.0679,-0.1539,0.0648,-0.1519,-10.0000,63.5000,-0.0964,0.1342,-0.2714,34,2
1775966192.7375,0.1535,0.0065,5.6021,-0.2415,25.1674,5.0024,25.1711,0.0679,-0.1539,0.0648,-0.1519,-10.0000,63.5000,-0.0952,0.1338,-0.2474,34,2
1775966192.7475,0.1535,0.0065,5.6021,-0.2415,25.1674,5.0024,25.1711,0.1016,-0.1557,0.2122,-0.1669,-5.0000,61.0000,-0.0938,0.1341,-0.2195,34,2
1775966192.8075,0.1382,0.0242,5.6196,-0.4227,25.1664,5.0204,25.1556,0.1016,-0.1557,0.2122,-0.1669,-5.0000,61.0000,-0.0821,0.1583,0.0790,41,2
1775966192.8175,0.1382,0.0242,5.6196,-0.4227,25.1664,5.0204,25.1556,0.1530,-0.1593,0.4177,-0.1813,4.5000,-73.5000,-0.0808,0.1640,0.1202,41,2
1775966192.8275,0.1249,0.0307,5.6150,-0.5093,25.1589,5.0141,25.1434,0.1530,-0.1593,0.4177,-0.1813,4.5000,-73.5000,-0.0796,0.1705,0.1604,44,2
1775966192.8375,0.1249,0.0307,5.6150,-0.5093,25.1589,5.0141,25.1434,0.1530,-0.1593,0.4177,-0.1813,4.5000,-73.5000,-0.0785,0.1778,0.1995,44,2
1775966192.8475,0.1249,0.0307,5.6150,-0.5093,25.1589,5.0141,25.1434,0.1933,-0.1495,0.5789,-0.1423,-7.0000,-78.5000,-0.0769,0.1960,0.2710,44,2
1775966192.8575,0.1249,0.0307,5.6150,-0.5093,25.1589,5.0141,25.1434,0.1933,-0.1495,0.5789,-0.1423,-7.0000,-78.5000,-0.0765,0.2080,0.2991,48,2
1775966192.8675,0.1065,0.0399,5.6111,-0.6016,25.1508,5.0145,25.1280,0.2227,-0.1387,0.6964,-0.0992,-20.0000,-87.5000,-0.0763,0.2216,0.3233,48,2
1775966192.8775,0.1065,0.0399,5.6111,-0.6016,25.1508,5.0145,25.1280,0.2227,-0.1387,0.6964,-0.0992,-20.0000,-87.5000,-0.0763,0.2216,0.3233,48,2
1775966192.8875,0.1065,0.0399,5.6111,-0.6016,25.1508,5.0145,25.1280,0.2227,-0.1387,0.6964,-0.0992,-20.0000,-87.5000,-0.0763,0.2639,0.4013,52,2
1775966192.8975,0.0942,0.0398,5.6161,-0.6855,25.1458,5.0103,25.1255,0.2485,-0.1262,0.7854,-0.0491,-35.0000,-96.5000,-0.0761,0.2772,0.4314,52,2
1775966192.9076,0.0942,0.0398,5.6161,-0.6855,25.1458,5.0103,25.1255,0.2485,-0.1262,0.7854,-0.0491,-35.0000,-96.5000,-0.0760,0.2902,0.4642,52,2
1775966192.9175,0.0942,0.0398,5.6161,-0.6855,25.1458,5.0103,25.1255,0.2583,-0.1255,0.7854,-0.0491,-35.0000,-96.5000,-0.0760,0.2902,0.4642,52,2
1775966192.9275,0.0942,0.0398,5.6161,-0.6855,25.1458,5.0103,25.1255,0.2583,-0.1255,0.7854,-0.0491,-35.0000,-96.5000,-0.0749,0.3264,0.5727,57,2
1775966192.9376,0.0747,0.0514,5.5813,-0.7720,25.1315,5.0215,25.1007,0.2583,-0.1255,0.7854,-0.0491,-35.0000,-96.5000,-0.0749,0.3264,0.5727,57,2
1775966192.9475,0.0747,0.0514,5.5813,-0.7720,25.1315,5.0215,25.1007,0.2586,-0.1133,0.7854,-0.0491,-50.5000,-106.5000,-0.0738,0.3485,0.6524,57,2
1775966192.9575,0.0747,0.0514,5.5813,-0.7720,25.1315,5.0215,25.1007,0.2586,-0.1133,0.7854,-0.0491,-50.5000,-106.5000,-0.0738,0.3485,0.6524,62,2
1775966192.9675,0.0773,0.0539,5.5464,-0.8672,25.1201,5.0104,25.0896,0.2505,-0.0998,0.7854,0.0567,-68.0000,-118.0000,-0.0720,0.3807,0.7736,62,2
1775966192.9775,0.0773,0.0539,5.5464,-0.8672,25.1201,5.0104,25.0896,0.2505,-0.0998,0.7854,0.0567,-68.0000,-118.0000,-0.0720,0.3807,0.7736,62,2
1775966192.9875,0.0773,0.0539,5.5464,-0.8672,25.1201,5.0104,25.0896,0.2505,-0.0998,0.7854,0.0567,-68.0000,-118.0000,-0.0707,0.4028,0.8517,62,2
1775966192.9975,0.0780,0.0693,5.5265,-0.9685,25.1094,5.0070,25.0673,0.2441,-0.0993,0.7854,0.0567,-68.0000,-118.0000,-0.0707,0.4028,0.8517,62,2
1775966193.0076,0.0780,0.0693,5.5265,-0.9685,25.1094,5.0070,25.0673,0.2441,-0.0993,0.7854,0.0567,-68.0000,-118.0000,-0.0700,0.4140,0.8894,68,2
1775966193.0175,0.0780,0.0693,5.5265,-0.9685,25.1094,5.0070,25.0673,0.2295,-0.0857,0.7013,0.1130,-87.0000,-129.5000,-0.0688,0.4376,0.9612,68,2
1775966193.0275,0.0780,0.0693,5.5265,-0.9685,25.1094,5.0070,25.0673,0.2295,-0.0857,0.7013,0.1130,-87.0000,-129.5000,-0.0682,0.4496,0.9959,75,2
1775966193.0375,0.0694,0.0826,5.5135,-1.0510,25.0950,5.0110,25.0425,0.2295,-0.0857,0.7013,0.1130,-87.0000,-129.5000,-0.0676,0.4618,1.0296,75,2
1775966193.0476,0.0694,0.0826,5.5135,-1.0510,25.0950,5.0110,25.0425,0.2150,-0.0710,0.7013,0.1130,-107.5000,-144.0000,-0.0668,0.4742,1.0623,75,2
1775966193.0575,0.0694,0.0826,5.5135,-1.0510,25.0950,5.0110,25.0425,0.2150,-0.0710,0.7013,0.1130,-107.5000,-144.0000,-0.0655,0.5024,1.1175,83,2
1775966193.0675,0.0747,0.1025,5.4903,-1.1279,25.0799,5.0190,25.0108,0.1980,-0.0554,0.5756,0.2341,-130.5000,-159.0000,-0.0648,0.5178,1.1400,83,2
1775966193.0775,0.0747,0.1025,5.4903,-1.1279,25.0799,5.0190,25.0108,0.1980,-0.0554,0.5756,0.2341,-130.5000,-159.0000,-0.0641,0.5339,1.1607,83,2
1775966193.0875,0.0747,0.1025,5.4903,-1.1279,25.0799,5.0190,25.0108,0.1980,-0.0554,0.5756,0.2341,-130.5000,-159.0000,-0.0633,0.5506,1.1794,92,2
1775966193.0975,0.0673,0.1266,5.4190,-1.2148,25.0583,5.0067,24.9680,0.1856,-0.0388,0.5756,0.2341,-155.0000,-175.0000,-0.0615,0.5868,1.2074,92,2
1775966193.1076,0.0673,0.1266,5.4190,-1.2148,25.0583,5.0067,24.9680,0.1856,-0.0388,0.5756,0.2341,-155.0000,-175.0000,-0.0606,0.6087,1.2093,92,2
1775966193.1175,0.0673,0.1266,5.4190,-1.2148,25.0583,5.0067,24.9680,0.1875,-0.0399,0.5756,0.2341,-155.0000,-175.0000,-0.0595,0.6325,1.2058,92,2
1775966193.1275,0.0673,0.1266,5.4190,-1.2148,25.0583,5.0067,24.9680,0.1875,-0.0399,0.5756,0.2341,-155.0000,-175.0000,-0.0583,0.6578,1.1984,101,2
1775966193.1376,0.0567,0.1533,5.3630,-1.3018,25.0408,5.0105,24.9271,0.1875,-0.0399,0.5756,0.2341,-155.0000,-175.0000,-0.0546,0.7108,1.1765,101,2
1775966193.1475,0.0567,0.1533,5.3630,-1.3018,25.0408,5.0105,24.9271,0.1812,-0.0235,0.5081,0.3620,-180.5000,-191.5000,-0.0521,0.7381,1.1648,101,2
1775966193.1575,0.0567,0.1533,5.3630,-1.3018,25.0408,5.0105,24.9271,0.1812,-0.0235,0.5081,0.3620,-180.5000,-191.5000,-0.0490,0.7655,1.1533,110,2
1775966193.1675,0.0497,0.1819,5.3110,-1.3826,25.0303,5.0154,24.8914,0.1769,-0.0052,0.5081,0.3620,-209.0000,-206.5000,-0.0454,0.7929,1.1422,110,2
1775966193.1776,0.0497,0.1819,5.3110,-1.3826,25.0303,5.0154,24.8914,0.1769,-0.0052,0.5081,0.3620,-209.0000,-206.5000,-0.0369,0.8489,1.1188,110,2
1775966193.1876,0.0497,0.1819,5.3110,-1.3826,25.0303,5.0154,24.8914,0.1769,-0.0052,0.5081,0.3620,-209.0000,-206.5000,-0.0317,0.8792,1.1005,120,2
1775966193.1976,0.0479,0.2163,5.2559,-1.4761,25.0048,4.9970,24.8367,0.1711,0.0137,0.4678,0.5106,-238.0000,-222.5000,-0.0260,0.9105,1.0797,120,2
1775966193.2076,0.0479,0.2163,5.2559,-1.4761,25.0048,4.9970,24.8367,0.1711,0.0137,0.4678,0.5106,-238.0000,-222.5000,-0.0127,0.9751,1.0331,120,2
1775966193.2176,0.0479,0.2163,5.2559,-1.4761,25.0048,4.9970,24.8367,0.1730,0.0102,0.4678,0.5106,-238.0000,-222.5000,-0.0049,1.0079,1.0089,120,2
1775966193.2276,0.0479,0.2163,5.2559,-1.4761,25.0048,4.9970,24.8367,0.1730,0.0102,0.4678,0.5106,-238.0000,-222.5000,0.0035,1.0410,0.9834,129,2
1775966193.2376,0.0489,0.2442,5.2105,-1.5569,24.9860,5.0027,24.7947,0.1730,0.0102,0.4678,0.5106,-238.0000,-222.5000,0.0128,1.0748,0.9554,129,2
1775966193.2475,0.0489,0.2442,5.2105,-1.5569,24.9860,5.0027,24.7947,0.1634,0.0308,0.4678,0.5106,-269.5000,-237.5000,0.0230,1.1094,0.9258,129,2
1775966193.2576,0.0489,0.2442,5.2105,-1.5569,24.9860,5.0027,24.7947,0.1634,0.0308,0.4678,0.5106,-269.5000,-237.5000,0.0457,1.1778,0.8662,138,2
1775966193.2676,0.0507,0.2780,5.1628,-1.6490,24.9574,5.0065,24.7384,0.1486,0.0533,0.3779,0.6691,-305.0000,-251.5000,0.0580,1.2110,0.8377,138,2
1775966193.2777,0.0507,0.2780,5.1628,-1.6490,24.9574,5.0065,24.7384,0.1486,0.0533,0.3779,0.6691,-305.0000,-251.5000,0.0711,1.2433,0.8104,138,2
1775966193.2876,0.0507,0.2780,5.1628,-1.6490,24.9574,5.0065,24.7384,0.1486,0.0533,0.3779,0.6691,-305.0000,-251.5000,0.0850,1.2752,0.7837,147,2
1775966193.2976,0.0502,0.3258,5.1464,-1.7479,24.9309,4.9939,24.6711,0.1373,0.0767,0.3325,0.7627,-341.5000,-264.0000,0.1152,1.3376,0.7312,147,2
1775966193.3076,0.0502,0.3258,5.1464,-1.7479,24.9309,4.9939,24.6711,0.1373,0.0767,0.3325,0.7627,-341.5000,-264.0000,0.1318,1.3690,0.7018,147,2
1775966193.3176,0.0502,0.3258,5.1464,-1.7479,24.9309,4.9939,24.6711,0.1221,0.0749,0.3325,0.7627,-341.5000,-264.0000,0.1497,1.4009,0.6694,147,2
1775966193.3276,0.0502,0.3258,5.1464,-1.7479,24.9309,4.9939,24.6711,0.1221,0.0749,0.3325,0.7627,-341.5000,-264.0000,0.1687,1.4327,0.6354,157,2
1775966193.3376,0.0683,0.3661,5.1216,-1.8219,24.8975,5.0106,24.6044,0.1221,0.0749,0.3325,0.7627,-341.5000,-264.0000,0.2089,1.4934,0.5696,157,2
1775966193.3476,0.0683,0.3661,5.1216,-1.8219,24.8975,5.0106,24.6044,0.1228,0.1007,0.2747,0.8585,-381.5000,-246.5000,0.2309,1.5229,0.5364,157,2
1775966193.3576,0.0683,0.3661,5.1216,-1.8219,24.8975,5.0106,24.6044,0.1228,0.1007,0.2747,0.8585,-381.5000,-246.5000,0.2540,1.5518,0.5019,167,2
1775966193.3676,0.0859,0.4070,5.1331,-1.9000,24.8709,5.0175,24.5447,0.1210,0.1290,0.2674,0.9716,-423.5000,-229.0000,0.2782,1.5802,0.4655,167,2
1775966193.3779,0.0859,0.4070,5.1331,-1.9000,24.8709,5.0175,24.5447,0.1210,0.1290,0.2674,0.9716,-423.5000,-229.0000,0.3299,1.6346,0.3918,167,2
1775966193.3876,0.0859,0.4070,5.1331,-1.9000,24.8709,5.0175,24.5447,0.1210,0.1290,0.2674,0.9716,-423.5000,-229.0000,0.3572,1.6603,0.3554,177,2
1775966193.3976,0.1073,0.4637,5.1234,-1.9872,24.8443,5.0112,24.4707,0.1206,0.1592,0.2658,1.0924,-467.5000,-210.0000,0.3855,1.6854,0.3177,177,2
1775966193.4076,0.1073,0.4637,5.1234,-1.9872,24.8443,5.0112,24.4707,0.1206,0.1592,0.2658,1.0924,-467.5000,-210.0000,0.4145,1.7094,0.2801,177,2
1775966193.4176,0.1073,0.4637,5.1234,-1.9872,24.8443,5.0112,24.4707,0.0950,0.1691,0.1635,1.1322,-467.5000,-210.0000,0.4763,1.7539,0.2082,177,2
1775966193.4276,0.1073,0.4637,5.1234,-1.9872,24.8443,5.0112,24.4707,0.0950,0.1691,0.1635,1.1322,-467.5000,-210.0000,0.5076,1.7740,0.1758,187,2
1775966193.4376,0.1260,0.5158,5.1328,-2.0501,24.8106,5.0092,24.3924,0.0950,0.1691,0.1635,1.1322,-467.5000,-210.0000,0.5391,1.7925,0.1461,187,2
1775966193.4476,0.1260,0.5158,5.1328,-2.0501,24.8106,5.0092,24.3924,0.0998,0.2032,0.1826,1.2684,-514.5000,-192.5000,0.5723,1.8092,0.1190,187,2
1775966193.4576,0.1260,0.5158,5.1328,-2.0501,24.8106,5.0092,24.3924,0.0998,0.2032,0.1826,1.2684,-514.5000,-192.5000,0.6437,1.8398,0.0572,198,2
1775966193.4676,0.1644,0.5691,5.1407,-2.1211,24.7692,5.0139,24.3081,0.0970,0.2463,0.1716,1.4411,-566.0000,-174.5000,0.6823,1.8535,0.0223,198,2
1775966193.4776,0.1644,0.5691,5.1407,-2.1211,24.7692,5.0139,24.3081,0.0970,0.2463,0.1716,1.4411,-566.0000,-174.5000,0.7231,1.8655,-0.0114,198,2
1775966193.4876,0.1644,0.5691,5.1407,-2.1211,24.7692,5.0139,24.3081,0.0970,0.2463,0.1716,1.4411,-566.0000,-174.5000,0.7642,1.8759,-0.0430,211,2
1775966193.4976,0.2030,0.6182,5.1609,-2.2053,24.7317,5.0156,24.2339,0.0918,0.2911,0.1508,1.6202,-615.5000,-161.0000,0.8473,1.8912,-0.0990,211,2
1775966193.5076,0.2030,0.6182,5.1609,-2.2053,24.7317,5.0156,24.2339,0.0918,0.2911,0.1508,1.6202,-615.5000,-161.0000,0.8909,1.8959,-0.1233,211,2
1775966193.5176,0.2030,0.6182,5.1609,-2.2053,24.7317,5.0156,24.2339,0.0672,0.3137,0.0524,1.7104,-615.5000,-161.0000,0.9344,1.8987,-0.1452,211,2
1775966193.5276,0.2030,0.6182,5.1609,-2.2053,24.7317,5.0156,24.2339,0.0672,0.3137,0.0524,1.7104,-615.5000,-161.0000,0.9783,1.8998,-0.1654,219,2
1775966193.5376,0.2267,0.6777,5.1648,-2.2892,24.7035,5.0127,24.1576,0.0672,0.3137,0.0524,1.7104,-615.5000,-161.0000,1.0678,1.8959,-0.2019,219,2
1775966193.5483,0.2267,0.6777,5.1648,-2.2892,24.7035,5.0127,24.1576,0.0451,0.3795,-0.0361,1.9738,-667.5000,-149.5000,1.1160,1.8900,-0.2213,219,2
1775966193.5576,0.2267,0.6777,5.1648,-2.2892,24.7035,5.0127,24.1576,0.0451,0.3795,-0.0361,1.9738,-667.5000,-149.5000,1.1671,1.8817,-0.2462,232,2
