time_s,self_x,self_y,self_z,target_x,target_y,target_z,dist_m,los_angle_v,los_angle_z,d_v_angle_v,d_v_angle_z,ex,ey,vx,vy,vz,detect_w,state
1778384917.5304,0.0739,-0.1480,5.3254,-5.0994,19.2627,5.0625,20.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0291,0.1103,-0.3196,53,2
1778384917.5403,0.0788,-0.1351,5.3210,-5.0797,19.1784,5.0630,19.9922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.1094,-0.3147,53,2
1778384917.5504,0.0788,-0.1351,5.3210,-5.0797,19.1784,5.0630,19.9922,0.0435,-0.3225,0.0435,-0.3225,373.5000,27.5000,0.0274,0.1082,-0.3040,53,2
1778384917.5604,0.0788,-0.1351,5.3210,-5.0797,19.1784,5.0630,19.9922,0.0435,-0.3225,0.0435,-0.3225,373.5000,27.5000,0.0264,0.1066,-0.2925,54,2
1778384917.5703,0.0612,-0.1376,5.3347,-5.0640,19.0937,5.0651,19.9044,0.0425,-0.3219,0.0435,-0.3225,373.0000,26.0000,0.0247,0.1032,-0.2748,54,2
1778384917.5804,0.0612,-0.1376,5.3347,-5.0640,19.0937,5.0651,19.9044,0.0425,-0.3219,0.0435,-0.3225,373.0000,26.0000,0.0237,0.1018,-0.2614,54,2
1778384917.5904,0.0612,-0.1376,5.3347,-5.0640,19.0937,5.0651,19.9044,0.0425,-0.3219,0.0435,-0.3225,373.0000,26.0000,0.0226,0.1008,-0.2445,54,2
1778384917.6004,0.0612,-0.1376,5.3347,-5.0640,19.0937,5.0651,19.9044,0.0652,-0.3224,0.1301,-0.3219,373.0000,26.0000,0.0214,0.1005,-0.2252,54,2
1778384917.6104,0.0596,-0.1311,5.3433,-5.0625,19.0109,5.0807,19.8173,0.0652,-0.3224,0.1301,-0.3219,373.0000,26.0000,0.0184,0.1026,-0.1831,55,2
1778384917.6204,0.0596,-0.1311,5.3433,-5.0625,19.0109,5.0807,19.8173,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,0.0167,0.1048,-0.1599,55,2
1778384917.8654,0.0781,-0.0647,5.3185,-4.8741,18.4365,5.0743,19.1541,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.1511,0.4595,0.5818,-1,2
1778384917.8754,0.0761,-0.0405,5.2972,-4.8457,18.3588,5.0657,19.0476,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.1597,0.4781,0.5949,-1,2
1778384917.8854,0.0761,-0.0405,5.2972,-4.8457,18.3588,5.0657,19.0476,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.1683,0.4967,0.6073,-1,2
1778384917.8954,0.0761,-0.0405,5.2972,-4.8457,18.3588,5.0657,19.0476,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.1858,0.5341,0.6304,-1,2
1778384917.9054,0.0814,-0.0136,5.2574,-4.8169,18.2830,5.0790,18.9418,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.1946,0.5526,0.6414,-1,2
1778384917.9154,0.0814,-0.0136,5.2574,-4.8169,18.2830,5.0790,18.9418,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2032,0.5709,0.6524,-1,2
1778384917.9254,0.0814,-0.0136,5.2574,-4.8169,18.2830,5.0790,18.9418,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2118,0.5891,0.6637,-1,2
1778384917.9354,0.0827,0.0173,5.2395,-4.7879,18.2037,5.0894,18.8280,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2288,0.6252,0.6866,-1,2
1778384917.9455,0.0827,0.0173,5.2395,-4.7879,18.2037,5.0894,18.8280,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2373,0.6434,0.6979,-1,2
1778384917.9554,0.0827,0.0173,5.2395,-4.7879,18.2037,5.0894,18.8280,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2458,0.6619,0.7089,-1,2
1778384917.9654,0.0758,0.0446,5.2006,-4.7619,18.1280,5.0830,18.7198,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2544,0.6804,0.7199,-1,2
1778384917.9754,0.0758,0.0446,5.2006,-4.7619,18.1280,5.0830,18.7198,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2715,0.7177,0.7411,-1,2
1778384917.9854,0.0758,0.0446,5.2006,-4.7619,18.1280,5.0830,18.7198,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2800,0.7369,0.7514,-1,2
1778384917.9954,0.0758,0.0446,5.2006,-4.7619,18.1280,5.0830,18.7198,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2886,0.7563,0.7615,-1,2
1778384918.0055,0.0691,0.0713,5.1419,-4.7254,18.0368,5.0727,18.5944,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.2971,0.7758,0.7711,-1,2
1778384918.0154,0.0691,0.0713,5.1419,-4.7254,18.0368,5.0727,18.5944,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.3142,0.8158,0.7898,-1,2
1778384918.0254,0.0691,0.0713,5.1419,-4.7254,18.0368,5.0727,18.5944,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.3227,0.8362,0.7989,-1,2
1778384918.0354,0.0506,0.0996,5.0830,-4.6913,17.9669,5.0513,18.4858,0.0952,-0.3225,0.2503,-0.3226,371.5000,11.0000,-0.3313,0.8567,0.8078,-1,2
