time_s,self_x,self_y,self_z,target_x,target_y,target_z,dist_m,los_angle_v,los_angle_z,d_v_angle_v,d_v_angle_z,ex,ey,vx,vy,vz,detect_w,state
1778393661.3499,-0.0059,0.0084,5.1635,3.1087,19.3374,1.4503,19.9273,0.2462,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0012,-0.0115,0.0652,63,2
1778393661.3599,-0.0059,0.0084,5.1635,3.1087,19.3374,1.4503,19.9273,0.2462,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0012,-0.0115,0.0649,63,2
1778393661.3699,-0.0059,0.0084,5.1635,3.1087,19.3374,1.4503,19.9273,0.2462,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0012,-0.0114,0.0647,63,2
1778393661.3799,-0.0070,0.0101,5.1502,3.2124,19.3271,1.5144,19.9180,0.2462,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0012,-0.0114,0.0663,63,2
1778393661.3899,-0.0070,0.0101,5.1502,3.2124,19.3271,1.5144,19.9180,0.2462,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0013,-0.0118,0.0818,63,2
1778393661.3999,-0.0070,0.0101,5.1502,3.2124,19.3271,1.5144,19.9180,0.2489,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0014,-0.0123,0.1096,63,2
1778393661.4099,-0.0028,0.0206,5.1527,3.3046,19.3248,1.5854,19.9077,0.2489,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0014,-0.0127,0.1454,63,2
1778393661.4199,-0.0028,0.0206,5.1527,3.3046,19.3248,1.5854,19.9077,0.2489,0.0070,0.2462,0.0070,-117.5000,346.5000,-0.0015,-0.0131,0.2314,63,2
1778393661.4299,-0.0028,0.0206,5.1527,3.3046,19.3248,1.5854,19.9077,0.2660,0.0071,0.2462,0.0070,-117.5000,346.5000,-0.0015,-0.0129,0.2788,63,2
1778393661.4399,0.0042,0.0196,5.1270,3.4086,19.3116,1.6799,19.8910,0.2660,0.0071,0.2462,0.0070,-117.5000,346.5000,-0.0015,-0.0124,0.3277,63,2
1778393661.4499,0.0042,0.0196,5.1270,3.4086,19.3116,1.6799,19.8910,0.2974,0.0073,0.4511,0.0083,-117.5000,346.5000,-0.0015,-0.0115,0.3774,63,2
1778393661.4599,0.0042,0.0196,5.1270,3.4086,19.3116,1.6799,19.8910,0.2974,0.0073,0.4511,0.0083,-117.5000,346.5000,-0.0017,-0.0085,0.4761,63,2
1778393661.4699,0.0042,0.0196,5.1270,3.4086,19.3116,1.6799,19.8910,0.2974,0.0073,0.4511,0.0083,-117.5000,346.5000,-0.0017,-0.0062,0.5245,63,2
1778393661.4799,0.0014,0.0143,5.1049,3.4997,19.3092,1.7545,19.8936,0.3378,0.0076,0.6126,0.0093,-117.5000,346.5000,-0.0018,-0.0033,0.5719,63,2
1778393661.4900,0.0014,0.0143,5.1049,3.4997,19.3092,1.7545,19.8936,0.3378,0.0076,0.6126,0.0093,-117.5000,346.5000,-0.0018,0.0002,0.6180,63,2
