time_s,self_x,self_y,self_z,target_x,target_y,target_z,dist_m,los_angle_v,los_angle_z,d_v_angle_v,d_v_angle_z,ex,ey,vx,vy,vz,detect_w,state
1778392082.5339,-0.0247,-0.0022,5.3489,-7.5551,22.9477,4.9767,24.1567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0075,0.0153,-0.3288,35,2
1778392082.5439,-0.0247,-0.0022,5.3489,-7.5551,22.9477,4.9767,24.1567,0.0221,-0.3932,0.0221,-0.3932,459.5000,28.5000,-0.0075,0.0153,-0.3269,35,2
1778392082.5539,-0.0247,-0.0022,5.3489,-7.5551,22.9477,4.9767,24.1567,0.0221,-0.3932,0.0221,-0.3932,459.5000,28.5000,-0.0076,0.0153,-0.3249,35,2
1778392082.5639,-0.0289,0.0014,5.3797,-7.6179,22.9154,4.9851,24.1412,0.0221,-0.3932,0.0221,-0.3932,459.5000,28.5000,-0.0077,0.0151,-0.3228,36,2
1778392082.5739,-0.0289,0.0014,5.3797,-7.6179,22.9154,4.9851,24.1412,0.0250,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.0076,0.0141,-0.3090,36,2
1778392082.5839,-0.0289,0.0014,5.3797,-7.6179,22.9154,4.9851,24.1412,0.0250,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.0076,0.0141,-0.2955,36,2
1778392082.5939,-0.0272,0.0025,5.4062,-7.6798,22.8878,4.9523,24.1351,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.0076,0.0145,-0.2785,36,2
1778392082.6039,-0.0272,0.0025,5.4062,-7.6798,22.8878,4.9523,24.1351,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.0078,0.0158,-0.2588,37,2
1778392082.8439,-0.0128,0.0352,5.4171,-8.0944,22.7191,4.9659,24.0847,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.1687,0.4309,0.2674,-1,2
1778392082.8539,-0.0128,0.0352,5.4171,-8.0944,22.7191,4.9659,24.0847,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.1891,0.4736,0.2869,-1,2
1778392082.8639,-0.0270,0.0452,5.3903,-8.1522,22.6886,4.9587,24.0610,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.1995,0.4951,0.2960,-1,2
1778392082.8739,-0.0270,0.0452,5.3903,-8.1522,22.6886,4.9587,24.0610,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2100,0.5166,0.3042,-1,2
1778392082.8839,-0.0270,0.0452,5.3903,-8.1522,22.6886,4.9587,24.0610,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2207,0.5383,0.3112,-1,2
1778392082.8939,-0.0233,0.0549,5.4087,-8.2074,22.6636,4.9478,24.0488,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2427,0.5817,0.3230,-1,2
1778392082.9039,-0.0233,0.0549,5.4087,-8.2074,22.6636,4.9478,24.0488,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2539,0.6036,0.3282,-1,2
1778392082.9139,-0.0233,0.0549,5.4087,-8.2074,22.6636,4.9478,24.0488,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2651,0.6254,0.3331,-1,2
1778392082.9240,-0.0274,0.0792,5.3878,-8.2746,22.6371,4.9665,24.0219,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2764,0.6473,0.3377,-1,2
1778392082.9339,-0.0274,0.0792,5.3878,-8.2746,22.6371,4.9665,24.0219,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.2991,0.6911,0.3459,-1,2
1778392082.9439,-0.0274,0.0792,5.3878,-8.2746,22.6371,4.9665,24.0219,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3105,0.7130,0.3497,-1,2
1778392082.9539,-0.0274,0.0792,5.3878,-8.2746,22.6371,4.9665,24.0219,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3219,0.7350,0.3533,-1,2
1778392082.9639,-0.0215,0.1009,5.3513,-8.3348,22.6084,4.9701,23.9967,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3337,0.7568,0.3566,-1,2
1778392082.9739,-0.0215,0.1009,5.3513,-8.3348,22.6084,4.9701,23.9967,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3572,0.8009,0.3623,-1,2
1778392082.9839,-0.0215,0.1009,5.3513,-8.3348,22.6084,4.9701,23.9967,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3691,0.8229,0.3648,-1,2
1778392082.9939,-0.0345,0.1278,5.3477,-8.3857,22.5850,4.9515,23.9630,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3810,0.8450,0.3672,-1,2
1778392083.0039,-0.0345,0.1278,5.3477,-8.3857,22.5850,4.9515,23.9630,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.3928,0.8673,0.3695,-1,2
1778392083.0139,-0.0345,0.1278,5.3477,-8.3857,22.5850,4.9515,23.9630,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4163,0.9118,0.3733,-1,2
1778392083.0239,-0.0317,0.1632,5.3552,-8.4285,22.5578,4.9713,23.9201,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4281,0.9341,0.3751,-1,2
1778392083.0339,-0.0317,0.1632,5.3552,-8.4285,22.5578,4.9713,23.9201,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4402,0.9564,0.3768,-1,2
1778392083.0439,-0.0317,0.1632,5.3552,-8.4285,22.5578,4.9713,23.9201,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4523,0.9786,0.3783,-1,2
1778392083.0539,-0.0558,0.1970,5.3250,-8.4859,22.5281,4.9738,23.8718,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4767,1.0231,0.3809,-1,2
1778392083.0639,-0.0558,0.1970,5.3250,-8.4859,22.5281,4.9738,23.8718,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.4886,1.0456,0.3820,-1,2
1778392083.0739,-0.0558,0.1970,5.3250,-8.4859,22.5281,4.9738,23.8718,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.5005,1.0682,0.3830,-1,2
1778392083.0839,-0.0558,0.1970,5.3250,-8.4859,22.5281,4.9738,23.8718,0.0380,-0.3966,0.0221,-0.3932,465.0000,32.5000,-0.5123,1.0908,0.3838,-1,2
