time,s_x,s_y,s_z,t_x,t_y,t_z,dist
1783836961.9520,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
1783836961.9818,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000
1783836962.0118,-0.0074,-0.0005,0.0082,-4.0315,16.0235,4.8608,17.2195
1783836962.0419,-0.0130,-0.0044,-0.0184,-3.9656,15.9659,4.8553,17.1588
1783836962.0718,-0.0162,-0.0015,0.0099,-3.8897,15.9067,4.8646,17.0776
1783836962.1019,-0.0217,-0.0042,0.0220,-3.8199,15.8508,4.8842,17.0132
1783836962.1319,-0.0407,0.0030,0.0166,-3.7389,15.7847,4.8889,16.9256
1783836962.1619,-0.0352,-0.0045,0.0309,-3.6719,15.7233,4.9008,16.8614
1783836962.1919,-0.0410,-0.0091,0.0250,-3.6003,15.6759,4.8875,16.8027
1783836962.2219,-0.0321,-0.0020,0.0242,-3.5296,15.6239,4.8895,16.7354
1783836962.2519,-0.0365,0.0005,0.0402,-3.4592,15.5701,4.8899,16.6627
1783836962.2819,-0.0415,-0.0015,0.0462,-3.3715,15.5101,4.9010,16.5912
1783836962.3119,-0.0415,-0.0015,0.0462,-3.3715,15.5101,4.9010,16.5912
1783836962.3419,-0.0346,-0.0118,0.0479,-3.3034,15.4663,4.9103,16.5499
1783836962.3719,-0.0130,-0.0117,0.0383,-3.2271,15.4094,4.9159,16.4903
1783836962.4019,-0.0193,-0.0274,0.0470,-3.1388,15.3638,4.9067,16.4389
1783836962.4319,-0.0176,-0.0288,0.0382,-3.0715,15.3187,4.8836,16.3814
1783836962.4619,-0.0146,-0.0361,0.0456,-2.9998,15.2646,4.8769,16.3207
1783836962.4919,-0.0132,-0.0276,0.0379,-2.9242,15.2274,4.8784,16.2672
1783836962.5219,-0.0173,-0.0285,0.0190,-2.8411,15.1843,4.8713,16.2157
1783836962.5520,-0.0209,-0.0194,0.0132,-2.7575,15.1442,4.8725,16.1566
1783836962.5819,-0.0124,-0.0168,-0.0005,-2.6748,15.1068,4.8840,16.1143
1783836962.6119,-0.0293,-0.0146,-0.0076,-2.5898,15.0638,4.8886,16.0588
1783836962.6419,-0.0293,-0.0146,-0.0076,-2.5898,15.0638,4.8886,16.0588
1783836962.6719,-0.0334,-0.0032,0.0094,-2.5250,15.0406,4.9000,16.0138
1783836962.7019,-0.0479,-0.0055,0.0063,-2.4481,15.0061,4.9191,15.9763
1783836962.7319,-0.0363,-0.0048,0.0180,-2.3680,14.9613,4.9219,15.9207
1783836962.7619,-0.0391,-0.0076,0.0567,-2.2933,14.9275,4.9099,15.8647
1783836962.7921,-0.0294,-0.0109,0.0508,-2.2126,14.8913,4.9032,15.8237
1783836962.8220,-0.0257,-0.0061,0.0295,-2.1154,14.8646,4.9134,15.7911
1783836962.8519,-0.0327,-0.0167,0.0262,-2.0440,14.8294,4.9092,15.7574
1783836962.8820,-0.0465,-0.0279,0.0181,-1.9583,14.8045,4.9241,15.7392
1783836962.9119,-0.0571,-0.0218,0.0099,-1.8676,14.7778,4.9072,15.6936
1783836962.9421,-0.0557,-0.0247,0.0074,-1.7770,14.7446,4.8979,15.6529
1783836962.9719,-0.0557,-0.0247,0.0074,-1.7770,14.7446,4.8979,15.6529
1783836963.0019,-0.0502,-0.0216,0.0098,-1.7004,14.7175,4.9107,15.6199
1783836963.0319,-0.0413,-0.0218,0.0282,-1.6177,14.6939,4.8975,15.5803
1783836963.0619,-0.0302,-0.0212,0.0399,-1.5417,14.6796,4.8893,15.5536
1783836963.0919,-0.0224,-0.0172,0.0404,-1.4490,14.6562,4.8970,15.5219
1783836963.1223,-0.0134,-0.0235,0.0457,-1.3583,14.6439,4.8796,15.5019
1783836963.1520,-0.0134,-0.0176,0.0483,-1.2573,14.6221,4.8734,15.4644
1783836963.1820,-0.0057,-0.0186,0.0459,-1.1696,14.6176,4.8713,15.4551
1783836963.2120,-0.0125,-0.0244,0.0301,-1.0831,14.6010,4.8993,15.4518
1783836963.2419,-0.0037,-0.0209,0.0291,-0.9793,14.5844,4.9227,15.4342
1783836963.2721,-0.0112,-0.0171,0.0272,-0.8963,14.5715,4.8948,15.4047
1783836963.3019,-0.0112,-0.0171,0.0272,-0.8963,14.5715,4.8948,15.4047
1783836963.3319,0.0064,-0.0209,0.0156,-0.8131,14.5642,4.8995,15.4029
1783836963.3620,0.0096,-0.0240,0.0012,-0.7274,14.5511,4.8902,15.3909
1783836963.3919,-0.0039,-0.0195,0.0147,-0.6206,14.5421,4.8837,15.3664
1783836963.4220,0.0013,-0.0139,0.0221,-0.5340,14.5400,4.8916,15.3562
1783836963.4519,-0.0039,-0.0089,0.0277,-0.4509,14.5246,4.9186,15.3409
1783836963.4820,-0.0101,-0.0092,0.0276,-0.3628,14.5187,4.9304,15.3370
1783836963.5119,-0.0101,-0.0092,0.0276,-0.3628,14.5187,4.9304,15.3370
1783836963.5419,0.0052,-0.0102,0.0475,-0.2739,14.5248,4.9306,15.3358
1783836963.5719,0.0072,-0.0175,0.0356,-0.1934,14.5281,4.9233,15.3461
1783836963.6020,0.0171,-0.0112,0.0484,-0.1033,14.5275,4.9171,15.3327
1783836963.6319,0.0048,-0.0091,0.0320,-0.0266,14.5349,4.9167,15.3424
1783836963.6620,0.0151,-0.0084,0.0473,0.0589,14.5355,4.9050,15.3338
1783836963.6919,0.0187,-0.0035,0.0625,0.1570,14.5444,4.9039,15.3329
1783836963.7220,0.0141,-0.0031,0.0679,0.2412,14.5557,4.9230,15.3487
1783836963.7520,0.0096,-0.0048,0.0694,0.3303,14.5669,4.9308,15.3646
1783836963.7820,0.0186,-0.0076,0.0867,0.4102,14.5780,4.9394,15.3767
1783836963.8119,0.0229,-0.0099,0.0865,0.4880,14.5829,4.9554,15.3907
1783836963.8420,0.0229,-0.0099,0.0865,0.4880,14.5829,4.9554,15.3907
1783836963.8720,0.0267,-0.0168,0.0719,0.5775,14.6060,4.9505,15.4250
1783836963.9019,0.0173,-0.0141,0.0618,0.6564,14.6262,4.9632,15.4523
1783836963.9319,0.0102,-0.0151,0.0517,0.7559,14.6320,4.9283,15.4556
1783836963.9620,0.0170,-0.0240,0.0446,0.8454,14.6526,4.9412,15.4940
1783836963.9919,0.0360,-0.0240,0.0591,0.9365,14.6621,4.9482,15.5047
1783836964.0220,0.0212,-0.0299,0.0337,1.0171,14.6798,4.9415,15.5387
1783836964.0519,0.0110,-0.0216,0.0321,1.0975,14.7001,4.9608,15.5628
1783836964.0820,0.0066,-0.0211,0.0366,1.1910,14.7229,4.9750,15.5942
1783836964.1120,0.0184,-0.0220,0.0566,1.2842,14.7500,4.9932,15.6264
1783836964.1420,0.0010,-0.0159,0.0656,1.3682,14.7809,4.9630,15.6461
